Restart,Iteration,RunTime,Distance,RunTimeSinceBeginningOfRun,BestDistance
2,7,0.4375,3967777.402223848,3.6875,3528126.7362539624
2,8,0.46875,3940707.744425465,3.71875,3528126.7362539624
2,9,0.515625,3905650.8381271753,3.765625,3528126.7362539624
2,10,0.546875,3875487.9651976344,3.796875,3528126.7362539624
2,11,0.59375,3824410.3063982404,3.84375,3528126.7362539624
2,12,0.625,3801424.6210848624,3.875,3528126.7362539624
2,13,0.671875,3762733.2349682976,3.921875,3528126.7362539624
2,14,0.703125,3742096.051174357,3.953125,3528126.7362539624
2,15,0.75,3726893.9513878427,4.0,3528126.7362539624
2,16,0.78125,3714894.2825236083,4.03125,3528126.7362539624
2,17,0.828125,3702928.5484160087,4.078125,3528126.7362539624
2,18,0.859375,3694162.827066453,4.109375,3528126.7362539624
2,19,0.90625,3685529.316626401,4.15625,3528126.7362539624
2,20,0.9375,3674443.913925493,4.1875,3528126.7362539624
2,21,0.984375,3666489.575738416,4.234375,3528126.7362539624
2,22,1.015625,3659219.4715488967,4.265625,3528126.7362539624
2,23,1.046875,3653878.3703534813,4.296875,3528126.7362539624
2,24,1.09375,3649358.3526746095,4.34375,3528126.7362539624
2,25,1.125,3645226.0647766455,4.375,3528126.7362539624
